android.permission.INTERNET,android.permission.SEND_SMS,android.permission.RECEIVE_USER_PRESENT,android.permission.MODIFY_PHONE_STATE,android.permission.READ_SMS,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.UPDATE_APP_OPS_STATS,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.READ_PHONE_STATE,android.permission.WRITE_SETTINGS,android.permission.READ_LOGS,android.permission.WRITE_EXTERNAL_STORAGE,com.android.launcher.permission.WRITE_SETTINGS,android.permission.ACCESS_NETWORK_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.WRITE_SMS,android.permission.INSTALL_PACKAGES,android.permission.READ_INTERNAL_STORAGE,android.permission.ACCESS_MTK_MMHW,android.permission.EXPAND_STATUS_BAR,android.permission.READ_CALL_LOG,android.permission.MOUNT_FORMAT_FILESYSTEMS,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_MMS,com.android.launcher.permission.UNINSTALL_SHORTCUT,com.android.launcher2.permission.READ_SETTINGS,android.permission.BROADCAST_STICKY,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.READ_CONTACTS,com.android.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_WAP_PUSH,android.permission.WRITE_INTERNAL_STORAGE,android.permission.SAMSUNG_TUNTAP,android.permission.WAKE_LOCK,android.permission.GET_ACCOUNTS,android.permission.CALL_PHONE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.DISABLE_KEYGUARD,android.permission.RUN_INSTRUMENTATION,android.permission.FLASHLIGHT,android.permission.CHANGE_NETWORK_STATE,android.permission.WRITE_CONTACTS,android.permission.PROCESS_OUTGOING_CALLS,com.android.launcher3.permission.READ_SETTINGS,android.permission.INTERACT_ACROSS_USERS_FULL,android.permission.ACCESS_CACHE_FILESYSTEM,android.permission.BLUETOOTH,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.RECEIVE_SMS,android.permission.WRITE_APN_SETTINGS,android.permission.GET_TASKS,android.permission.WRITE_SECURE_SETTINGS,com.google.android.c2dm.permission.RECEIVE,android.permission.SET_WALLPAPER,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.BLUETOOTH_ADMIN,android.permission.VIBRATE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_USER_DICTIONARY,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_FINE_LOCATION,android.permission.RESTART_PACKAGES,android.permission.GET_PACKAGE_SIZE,android.permission.CAMERA,android.permission.CHANGE_CONFIGURATION,android.permission.SYSTEM_OVERLAY_WINDOW,android.permission.READ_SETTINGS,android.permission.RECORD_AUDIO,android.permission.BROADCAST_SMS,class
1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1
1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
