com.lenovo.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_SMS,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.INTERNAL_SYSTEM_WINDOW,com.fede.launcher.permission.READ_SETTINGS,android.permission.CALL_PHONE,android.permission.CLEAR_APP_CACHE,android.permission.ACCESS_CACHE_FILESYSTEM,android.permission.RECEIVE_USER_PRESENT,android.permission.INTERNET,android.permission.ACCESS_DOWNLOAD_MANAGER,com.android.launcher.permission.WRITE_SETTINGS,com.sec.android.app.sbrowser.operatorbookmarks.permission.READ_HISTORY_BOOKMARKS,android.permission.SAMSUNG_TUNTAP,android.permission.READ_PROFILE,android.permission.WRITE_USER_DICTIONARY,com.android.launcher3.permission.READ_SETTINGS,android.permission.ACCESS_FINE_LOCATION,android.permission.CHANGE_WIMAX_STATE,android.permission.WRITE_SECURE,android.permission.STATUS_BAR,android.permission.WRITE_SECURE_SETTINGS,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.GET_ACCOUNTS,android.permission.PACKAGE_USAGE_STATS,android.permission.READ_SMS,android.permission.READ_SOCIAL_STREAM,com.android.voicemail.permission.ADD_VOICEMAIL,android.permission.RECEIVE_MMS,android.permission.WRITE_APN_SETTINGS,android.permission.READ_CALENDAR,android.permission.READ_OWNER_DATA,android.permission.UPDATE_DEVICE_STATS,android.permission.BODY_SENSORS,android.permission.READ_INTERNAL_STORAGE,android.permission.ACCESS_MTK_MMHW,android.permission.VIBRATE,android.permission.DIAGNOSTIC,com.android.launcher.permission.UNINSTALL_SHORTCUT,android.permission.BROADCAST_PACKAGE_INSTALL,com.google.android.c2dm.permission.RECEIVE,android.permission.WRITE_SYNC_SETTINGS,android.permission.ACCESS_WIFI_STATE,android.permission.WRITE_OWNER_DATA,org.adw.launcher.permission.READ_SETTINGS,android.permission.MANAGE_ACCOUNTS,com.anddoes.launcher.permission.READ_SETTINGS,android.permission.NFC,android.permission.ACCESS_COARSE_UPDATES,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.WRITE_CALENDAR,android.permission.DELETE_PACKAGES,com.htc.launcher.permission.READ_SETTINGS,android.permission.RESTART_PACKAGES,android.permission.PROCESS_OUTGOING_CALLS,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.MODIFY_PHONE_STATE,android.permission.INTERACT_ACROSS_USERS_FULL,android.permission.BLUETOOTH_ADMIN,android.permission.WRITE_PROFILE,android.permission.READ_SETTINGS,android.permission.BROADCAST_STICKY,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.READ_SYNC_SETTINGS,android.permission.PERSISTENT_ACTIVITY,android.permission.CAMERA,com.android.launcher2.permission.WRITE_SETTINGS,android.permission.DISABLE_KEYGUARD,android.permission.WRITE_CONTACTS,android.permission.WRITE_CALL_LOG,android.permission.USE_CREDENTIALS,android.permission.BROADCAST_SMS,android.permission.READ_USER_DICTIONARY,android.permission.PROCESS_INCOMING_CALLS,android.permission.ACCESS_COARSE_LOCATION,android.permission.CHANGE_NETWORK_STATE,android.permission.WRITE_MEDIA_STORAGE,android.permission.READ_SYNC_STATS,android.permission.ACCESS_WIMAX_STATE,android.permission.MEDIA_CONTENT_CONTROL,com.lge.launcher.permission.READ_SETTINGS,android.permission.SEND_SMS,android.permission.RECEIVE_WAP_PUSH,android.permission.UPDATE_APP_OPS_STATS,com.google.android.launcher.permission.READ_SETTINGS,android.permission.CHANGE_CONFIGURATION,android.permission.SET_TIME_ZONE,android.permission.WRITE_SMS,com.android.launcher.permission.READ_SETTINGS,com.google.android.gms.permission.AD_ID_NOTIFICATION,android.permission.ACCESS_NETWORK_STATE,com.android.vending.CHECK_LICENSE,android.permission.REORDER_TASKS,com.android.launcher3.permission.WRITE_SETTINGS,android.permission.DEVICE_POWER,android.permission.READ_CONTACTS,android.permission.BROADCAST_WAP_PUSH,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.ACCESS_MOCK_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.TRANSMIT_IR,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.BLUETOOTH,android.permission.CHANGE_WIFI_STATE,android.permission.FLASHLIGHT,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.ADD_SYSTEM_SERVICE,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,android.permission.GET_PACKAGE_SIZE,android.permission.BATTERY_STATS,android.permission.RECORD_AUDIO,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WAKE_LOCK,com.android.launcher2.permission.READ_SETTINGS,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.READ_PHONE_STATE,android.permission.SYSTEM_OVERLAY_WINDOW,android.permission.BROADCAST_PACKAGE_ADDED,android.permission.SET_WALLPAPER,android.permission.WRITE_SOCIAL_STREAM,android.permission.SUBSCRIBED_FEEDS_WRITE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.BROADCAST_PACKAGE_REPLACED,android.permission.INSTALL_PACKAGES,com.android.alarm.permission.SET_ALARM,android.permission.USES_POLICY_FORCE_LOCK,android.permission.GET_TASKS,android.permission.READ_INSTALL_SESSIONS,android.permission.EXPAND_STATUS_BAR,android.permission.USE_SIP,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.READ_CALL_LOG,android.permission.WRITE_INTERNAL_STORAGE,com.oppo.launcher.permission.READ_SETTINGS,android.permission.SET_WALLPAPER_HINTS,android.permission.READ_LOGS,android.permission.WRITE_SETTINGS,android.permission.READ_CELL_BROADCASTS,android.permission.MOUNT_FORMAT_FILESYSTEMS,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,com.google.android.gms.permission.ACTIVITY_RECOGNITION,com.huawei.android.launcher.permission.READ_SETTINGS,android.permission.SUBSCRIBED_FEEDS_READ,com.google.android.googleapps.permission.GOOGLE_AUTH,com.android.vending.BILLING,android.permission.RUN_INSTRUMENTATION,class
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
